"healthy_66"	"healthy_67"	"healthy_68"	"healthy_69"	"healthy_70"	"diseased_71"	"diseased_72"	"diseased_73"	"diseased_74"	"diseased_75"
"LOC124904516"	7	4	2	6	3	2	7	5	9	8
"C1orf115"	246	233	241	228	202	135	171	175	189	209
"HDAC1P2"	2	1	1	0	4	3	8	7	5	5
"RN7SL464P"	0	0	0	0	0	0	0	0	0	0
"MARK1"	1949	2026	1820	2176	1601	2759	3382	3185	4004	3791
"LOC105372928"	0	0	0	0	0	0	0	0	0	0
"PRELID3BP1"	0	0	0	0	0	0	0	0	0	0
"RPLP0P5"	0	2	5	2	2	2	1	1	2	0
"XRCC6P3"	1	0	0	1	0	0	0	0	0	0
"AURKAP1"	58	51	29	55	42	70	117	96	156	104
"MORF4L1P1"	650	671	689	606	789	710	634	542	700	725
"SNX2P1"	0	0	0	0	0	0	0	0	0	0
"SNORA36B"	0	0	0	0	0	0	0	0	0	0
"MIR664A"	0	0	0	0	0	0	0	0	0	0
"RAB3GAP2"	3782	3402	3691	3359	2891	4125	3769	3803	4562	4360
"RPS15AP12"	4	1	4	3	2	3	0	3	1	2
"LOC124904824"	0	0	1	1	1	0	0	0	0	0
"MIR194.1"	0	0	0	0	0	0	0	0	0	0
"MIR215"	0	0	0	0	0	0	0	0	0	0
"LOC124904515"	0	0	0	0	0	0	0	0	0	0
"LOC105373475"	0	0	0	0	0	0	0	0	0	0
"IARS2"	3748	3673	4146	3471	3169	3249	2994	2804	3340	3244
"BPNT1"	467	516	506	505	372	423	320	316	408	437
"LOC124904819"	0	0	0	0	0	0	0	0	0	0
"EPRS1"	9065	9878	8918	9734	8965	7848	8196	7037	9834	8259
"LOC124904668"	0	0	0	0	0	0	0	0	0	0
"LOC107985281"	4	8	1	3	2	3	3	6	3	9
"SLC30A10"	945	3881	381	3683	1043	184	274	215	340	301
"RNA5SP76"	0	0	0	0	0	0	0	0	0	0
"LOC105372926"	60	98	44	83	59	2	2	3	2	5
"ZC3H11B"	72	103	46	101	73	12	20	16	15	11
"LOC124904657"	0	0	0	0	0	0	0	0	0	0
"LOC124904514"	4	2	1	1	1	3	1	1	2	0
"LYPLAL1.AS1"	0	4	2	0	1	0	0	0	0	0
"LOC107984018"	1	3	4	7	3	0	0	1	0	0
"RIMKLBP2"	0	0	0	0	0	0	0	0	0	0
"LYPLAL1"	688	739	602	741	512	630	647	632	932	796
"LYPLAL1.DT"	15	17	9	15	11	12	13	12	16	16
"LOC124904513"	0	0	0	0	0	0	0	0	0	0
"LINC01710"	0	0	0	0	0	0	0	0	2	0
"NXNP1"	0	0	0	0	0	0	0	0	0	0
"LOC105372924"	6	1	4	4	1	3	1	0	0	1
"LOC124904666"	0	0	0	0	0	0	0	0	0	0
"LINC02869"	7	4	2	0	1	5	1	2	1	3
"TGFB2.OT1"	0	0	0	0	0	0	0	0	0	0
"TGFB2"	3054	5177	2780	4740	2726	1155	762	467	561	801
"TGFB2.AS1"	4	3	2	2	6	4	2	3	2	5
"RPS26P17"	1	0	0	0	0	0	0	0	0	0
"RRP15"	897	938	824	887	660	837	690	695	865	968
"LOC105372923"	0	0	0	0	0	0	1	0	0	0
"RNU1.141P"	0	0	0	0	0	0	0	0	0	0
"LINC01653"	0	0	0	0	0	0	0	0	0	0
"LOC105372922"	0	0	0	0	0	0	0	0	0	0
"LINC00210"	0	0	0	0	0	0	0	0	0	0
"UBBP2"	0	0	0	0	0	0	0	0	0	0
"SPATA17.AS1"	0	0	0	0	0	0	0	0	0	0
"SPATA17"	498	281	418	261	368	347	246	246	241	305
"GPATCH2"	947	856	880	859	688	751	654	636	665	773
"LOC124904807"	0	0	0	0	0	0	0	0	0	0
"LOC105372920"	0	0	0	0	0	0	0	0	0	0
"LOC107985461"	0	0	0	0	0	0	0	0	0	0
"LOC124904512"	0	0	0	0	0	0	3	0	0	0
"ESRRG"	347	369	256	369	245	438	497	476	631	591
"LOC107985596"	0	0	0	1	0	0	0	0	0	0
"MRPS18BP1"	0	0	0	0	0	0	0	0	0	0
"USH2A.AS1"	0	0	0	0	0	0	0	0	0	0
"USH2A.AS2"	0	0	0	0	0	0	0	0	0	0
"LOC124904778"	0	0	0	0	0	1	0	0	0	0
"USH2A"	18	9	12	14	12	11	14	26	20	27
"KCTD3"	2755	2722	2851	2549	2224	2499	2187	2160	2545	2551
"LOC124904599"	1	4	3	0	1	4	3	3	8	4
"LOC124904598"	0	0	0	0	0	0	0	0	0	0
"VDAC1P10"	0	0	0	0	0	0	0	0	0	0
"LOC124904511"	7	16	6	13	3	2	4	8	11	5
"KCNK2"	1026	2899	603	3115	1273	233	399	330	431	372
"LOC124904510"	0	0	1	0	1	1	0	0	1	0
"GAPDHP24"	0	0	0	0	0	0	0	0	0	0
"LOC105372916"	0	0	1	0	1	0	0	0	0	0
"UBE2V1P13"	0	0	0	0	0	0	0	0	0	0
"ABHD17AP3"	0	0	2	0	0	1	0	0	1	1
"CENPF"	4684	3998	4067	3812	3965	6157	3705	3602	3301	4751
"KRT18P12"	0	0	0	0	1	0	0	0	0	0
"LOC643454"	10	7	15	9	9	7	1	4	11	5
"LOC124904508"	0	0	0	0	0	0	0	0	0	0
"PTPN14"	1879	1261	2514	1086	1257	1366	609	483	487	900
"SMYD2"	612	519	643	537	433	630	441	485	554	616
"LOC124904509"	40	42	33	47	36	43	40	33	33	69
"LINC02775"	0	1	0	1	0	1	0	0	1	0
"PROX1"	317	289	326	314	208	502	363	356	485	505
"LOC124904651"	0	0	0	0	0	0	0	0	0	0
"LINC00538"	0	0	0	0	0	0	0	0	0	0
"PROX1.AS1"	7	16	17	9	8	12	11	8	19	12
"RPL31P13"	0	0	0	0	0	0	0	0	0	0
"RPS6KC1"	2074	2025	2097	1907	1848	1997	2019	1680	2170	2121
"ANGEL2"	1030	1053	951	1048	735	883	896	835	1066	1071
"VASH2"	1369	1461	1217	1387	949	1435	1901	1668	2189	2201
"LOC124904507"	0	0	0	1	0	0	0	0	0	0
"FLVCR1"	860	913	842	788	585	1033	1110	962	1191	1426
"FLVCR1.DT"	94	69	71	62	55	52	50	44	74	71
"RPS28P2"	0	2	1	2	0	1	2	2	4	7
"SPATA45"	2	7	1	1	3	1	6	1	6	2
"RPS5P4"	0	2	1	1	2	0	1	1	0	2
"TATDN3"	488	449	504	525	467	487	535	526	683	627
"NSL1"	1043	984	1042	983	773	1025	946	909	1169	1179
"LOC124904694"	0	0	0	0	0	0	0	0	0	0
"BATF3"	28	20	19	16	16	27	28	28	38	31
"LOC100129948"	0	0	0	0	0	0	0	0	0	0
"LINC02773"	13	9	11	5	3	10	8	7	8	11
"GARIN4"	1	3	0	0	1	1	1	2	1	1
"ATF3"	1795	1007	1694	1172	1253	1511	1148	1339	1595	1527
"LINC01740"	1	0	0	0	3	0	0	0	0	0
"LOC105372908"	0	0	0	0	0	0	0	0	0	0
"LINC02771"	0	0	0	0	0	0	0	0	0	0
"LOC124904506"	0	1	0	0	0	0	0	0	0	0
"NENF"	687	664	664	827	531	312	230	230	237	320
"LOC105372906"	3	0	1	3	0	1	2	0	0	1
"PACC1"	660	647	771	679	565	936	910	806	1053	1074
"SNORA16B"	0	1	1	0	1	0	0	1	0	0
"RPL23AP18"	5	4	11	9	9	1	4	1	3	3
"PPP2R5A"	753	978	719	949	614	504	467	347	433	460
"LINC02608"	1	1	0	0	0	0	0	0	0	3
"RN7SKP98"	0	0	0	0	0	0	0	0	0	0
"MIR3122"	1	1	0	0	0	1	1	0	1	1
"RPL21P28"	18	15	31	18	29	10	12	11	11	14
"DTL"	605	489	534	505	415	655	339	400	340	497
"LOC124900448"	0	0	0	0	0	0	0	0	0	0
"INTS7"	933	1042	841	1035	820	998	1128	1145	1449	1248
"LOC124904505"	0	0	0	0	0	0	0	0	0	0
"LPGAT1.AS1"	1	0	0	0	0	0	0	0	0	0
"RN7SL344P"	0	0	0	0	1	0	0	1	0	0
"LPGAT1"	3540	3424	3585	3264	2586	3303	3296	2963	3878	3927
"LOC105372904"	1	0	0	0	0	0	0	0	0	0
"NEK2.DT"	2	4	5	4	3	3	3	0	1	3
"FDPSP8"	0	0	0	0	1	2	0	0	1	2
"NEK2"	489	373	440	372	392	576	246	315	307	468
"LINC01693"	0	0	1	0	0	0	0	0	0	0
"LOC105372903"	0	2	1	0	0	0	0	0	0	0
"SLC30A1"	1542	1269	1722	1263	727	1298	658	635	735	989
"LOC107985260"	0	0	0	1	1	0	0	0	0	0
"LOC107985261"	0	0	0	0	0	0	0	0	0	0
"RD3"	11	4	14	6	17	2	5	9	5	3
"ARPC3P2"	1	0	2	0	1	1	0	1	0	1
"SNX25P1"	15	13	9	11	10	16	3	2	2	3
"LOC107985259"	0	0	0	0	0	0	0	0	0	0
"LINC00467"	130	126	119	132	102	106	95	108	91	119
"LOC124904504"	33	46	8	49	26	32	62	53	68	62
"TRAF5"	1030	1110	980	1055	853	397	250	171	172	292
"RCOR3"	1858	1890	1626	2057	1360	1613	1703	1672	2241	1999
"LOC105372902"	13	17	11	15	10	15	19	13	24	19
"PRELID1P5"	5	1	4	2	2	4	2	0	1	4
"RPS25P2"	8	3	2	5	3	5	0	1	2	1
"KCNH1.IT1"	7	10	3	9	5	5	13	4	9	8
"IPO8P1"	13	10	9	7	16	14	10	11	15	11
"LOC105372901"	0	0	0	0	1	1	2	0	0	0
"KCNH1"	200	193	174	183	156	327	284	231	318	332
"LOC124904503"	0	0	0	0	0	0	0	0	0	0
"LOC124904502"	0	0	0	0	0	0	0	1	0	0
"SYT14"	1687	1562	1727	1523	1063	2048	1973	1877	2467	2522
"UTP25"	805	758	772	687	641	737	773	601	787	810
"IRF6"	5	5	5	6	4	1	2	5	4	3
"C1orf74"	197	185	165	210	158	178	186	144	227	214
"TRAF3IP3"	14	10	15	8	9	2	1	1	1	1
"ADORA2BP1"	0	0	0	0	0	0	0	0	0	0
"HSD11B1"	18	8	24	7	11	2	5	1	5	8
"G0S2"	25	8	49	18	13	6	2	11	8	10
"HSD11B1.AS1"	4	4	2	7	8	1	0	0	0	0
"MIR4260"	0	0	0	0	0	0	0	0	0	0
"LAMB3"	143	57	202	61	96	37	38	39	47	43
"CAMK1G"	107	122	75	129	100	105	193	189	210	224
"LOC107985256"	0	0	0	0	0	0	0	0	1	0
"LOC105372899"	0	0	0	0	0	0	0	0	0	0
"LOC105372898"	0	0	0	0	0	0	0	0	0	1
"MIR205"	0	0	0	0	0	0	0	0	0	0
"MIR205HG"	0	0	0	0	0	0	0	0	0	0
"LINC01698"	0	0	0	0	0	0	0	0	0	0
"LINC01696"	0	0	0	0	0	0	0	0	0	0
"ATP5MC2P1"	1	1	0	0	2	3	3	1	0	0
"TFDP1P1"	1	0	0	0	1	1	0	0	0	1
"LOC105372896"	0	0	0	0	0	0	0	0	0	0
"LOC100652908"	0	0	0	0	0	0	0	0	0	0
"LOC105372895"	14	9	5	12	8	7	5	1	0	6
"LINC01774"	0	0	0	0	0	0	0	0	0	0
"LOC107985255"	0	0	0	0	0	0	0	0	2	0
"LINC01717"	0	1	0	0	0	1	0	0	0	0
"RPS26P13"	2	0	1	2	2	0	0	0	1	1
"LOC105372892"	0	0	1	0	1	0	0	0	1	1
"LINC02769"	0	0	0	1	1	0	0	1	1	1
"LINC01735"	5	1	0	2	2	1	2	3	3	3
"LOC107985460"	0	0	0	0	0	0	0	0	1	0
"LOC124904501"	6	0	1	2	1	0	0	3	0	0
"LOC105372889"	1	2	1	2	0	0	0	1	0	1
"LOC105372884"	0	1	0	0	0	0	0	0	0	1
"LOC124904500"	0	0	0	0	0	0	0	0	0	0
"LOC124904499"	0	0	0	0	0	0	0	0	0	0
"LOC105372887"	0	0	0	0	0	0	0	0	0	0
"PLXNA2"	4486	3757	3839	3853	3201	4945	7953	6527	8906	8608
"LINC02767"	2	0	1	1	0	0	1	2	0	0
"LOC107985253"	0	0	0	0	0	0	0	0	0	0
"CD34"	82	9	131	11	41	132	72	25	36	67
"LOC148696"	0	0	0	0	0	0	0	0	0	0
"MIR29B2"	0	0	0	0	0	0	0	0	0	0
"MIR29C"	0	0	0	0	0	0	0	0	0	0
"MIR29B2CHG"	20	16	7	23	17	15	32	11	27	16
"CDCA4P4"	0	0	1	0	0	0	0	1	1	0
"CD46"	3786	3972	3376	3604	2775	3136	3123	2635	3340	3301
"LOC100422434"	0	0	0	0	0	0	0	0	0	0
"RNA5SP534"	0	0	0	0	0	0	0	0	0	0
"CDCA4P3"	0	0	0	0	0	0	0	0	0	0
"CR1L"	0	0	1	0	0	0	0	0	0	0
"CD46P1"	0	0	0	0	0	0	0	0	0	0
"CR1"	0	2	0	1	0	0	3	2	3	2
"CR2"	1	1	0	1	0	1	2	0	0	2
"LOC105372880"	0	0	0	0	0	0	0	0	0	0
"LOC124904498"	0	0	0	0	0	0	0	0	0	0
"CD55"	234	190	224	177	147	211	135	131	181	193
"LOC124904497"	0	0	1	0	0	0	0	0	0	0
"C4BPAP2"	0	0	0	0	0	0	0	0	0	0
"C4BPAP3"	0	0	0	0	0	0	0	0	0	0
"C4BPAP1"	0	0	0	0	0	0	0	0	0	0
"LOC107985251"	13	9	15	16	8	16	29	17	37	30
"C4BPA"	0	2	0	0	0	0	0	0	0	0
"C4BPB"	0	0	0	0	0	0	0	0	0	0
"YOD1"	936	968	897	951	549	918	814	808	977	1087
"LOC124904826"	1	0	0	1	0	0	0	0	0	1
"PFKFB2"	1317	1136	1187	1157	908	938	1032	888	1023	1055
"C1orf116"	4	4	3	8	5	1	0	1	0	2
"TRP.TGG5.1"	0	0	0	0	0	0	0	0	0	0
"FCAMR"	0	0	0	0	0	0	0	0	0	0
"PIGR"	0	0	0	0	0	0	0	0	0	0
"RPL13AP8"	0	0	0	0	0	0	1	0	1	0
"FCMR"	2	0	1	0	1	1	0	2	0	0
"IL24"	0	0	0	0	0	0	0	0	0	0
"LOC105372879"	0	0	0	0	0	0	1	0	0	0
"IL20"	0	0	0	0	0	0	0	0	0	0
"LOC105372878"	0	0	0	0	0	0	0	0	0	0
"IL19"	0	0	1	0	0	0	0	0	0	0
"IL10"	0	0	0	0	0	0	0	0	0	0
"RPS14P1"	182	142	195	176	158	142	98	88	118	91
"MAPKAPK2"	2327	1959	2529	1884	1565	1405	1175	1062	1095	1364
"LOC124904495"	5	4	3	4	2	6	7	0	4	7
"LOC124904496"	0	0	0	0	0	0	0	0	1	0
"DYRK3"	803	555	960	579	569	663	449	417	441	580
"DYRK3.AS1"	3	4	8	4	1	5	1	5	3	1
"EIF2D"	1233	1041	1105	1087	933	728	595	573	698	704
"LOC124904494"	0	0	0	1	0	0	2	0	0	0
"RPL7AP20"	2	0	3	1	3	1	0	0	0	1
"RASSF5"	60	57	26	60	41	65	126	106	154	106
"LOC124904493"	1	0	1	0	0	0	0	0	1	1
"C1orf147"	0	0	0	0	0	0	0	0	0	0
"MIR6769B"	0	0	0	0	0	0	0	0	0	0
"IKBKE"	256	149	221	155	143	122	82	78	89	114
"SRGAP2"	3525	2988	3219	3113	2586	3076	3052	2832	3558	3613
"FAM72A"	25	30	23	25	28	39	23	21	22	23
"RPL22P4"	0	0	0	0	0	0	0	0	0	0
"LOC105372873"	0	0	0	0	0	0	0	0	0	0
"LOC105372869"	0	0	0	0	0	0	0	1	0	0
"LOC124904492"	0	1	0	0	0	0	0	0	0	0
"AVPR1B"	1	2	1	2	1	0	1	1	0	1
"LOC124900428"	0	0	0	0	0	0	0	0	0	0
"LOC105372857"	0	0	0	0	0	0	0	0	0	0
"RHEX"	0	0	0	0	0	0	0	0	0	0
"CTSE"	0	0	0	0	1	0	0	0	0	0
"RAB7B"	70	68	75	71	64	35	18	15	24	19
"LOC103021295"	0	0	4	1	1	3	0	5	1	1
"SLC26A9.AS1"	14	10	29	5	22	10	6	3	7	8
"SLC26A9"	2	3	0	1	0	5	5	4	13	3
"LOC284581"	550	517	416	503	441	379	377	338	387	381
"LOC107985250"	58	50	45	45	46	41	68	46	63	59
"PM20D1"	0	0	0	0	0	0	0	0	0	0
"SLC41A1"	4033	5048	3308	5062	3173	1769	1554	1242	1479	1774
"RAB29"	1079	926	1403	954	841	1109	843	720	813	995
"LOC124900423"	0	0	0	2	0	1	0	0	0	0
"NUCKS1"	24409	24431	23961	24005	16719	20101	16246	15801	19151	20590
"LOC105371701"	0	0	0	0	0	1	1	0	1	0
"SLC45A3"	175	171	179	155	126	145	139	108	115	151
"LOC100420878"	1	1	2	1	6	0	2	0	2	0
"ELK4"	1937	1867	1784	1725	1220	957	827	726	897	946
"RNU6.418P"	0	0	0	0	0	0	0	1	0	1
"LOC124904491"	0	0	3	1	0	1	0	0	3	1
"MFSD4A"	37	66	35	92	35	58	94	100	125	104
"RNU2.19P"	0	0	0	0	0	0	0	0	0	0
"MFSD4A.AS1"	4	9	5	6	6	18	36	37	47	42
"CDK18"	101	120	92	106	59	21	33	19	17	30
"TRK.TTT8.1"	0	0	0	0	0	0	1	1	0	0
"LEMD1.DT"	38	47	31	50	30	54	77	53	73	77
"MIR135B"	2	2	0	1	2	1	3	2	3	2
"BLACAT1"	568	568	431	508	427	702	926	680	789	940
"LEMD1"	72	74	94	73	55	107	102	88	107	116
"LOC105371698"	5	2	1	5	1	1	4	0	5	7
"LEMD1.AS1"	2	0	0	2	0	1	0	2	4	1
"SNRPGP10"	76	48	79	52	48	72	75	36	56	64
"KLHDC8A"	1478	1300	1327	1283	991	1839	1462	1425	1328	1947
"NUAK2"	1190	509	1102	579	640	967	517	586	475	834
"TMCC2.AS1"	0	0	0	0	0	0	0	0	0	0
"TMCC2"	688	685	686	694	536	756	923	924	988	1140
"RPL17P8"	1	0	0	1	0	2	0	1	1	0
"DSTYK"	2713	2239	2922	2202	1961	2246	2068	1988	2547	2695
"LOC124904585"	0	0	0	0	0	0	0	0	0	0
"GYG2P2"	0	0	0	0	0	0	0	0	0	0
"RBBP5"	1050	1100	1053	1065	842	924	894	766	1050	1028
"TMEM81"	81	80	70	96	71	107	117	104	159	126
"CNTN2"	1481	1505	1187	1528	1229	1367	1492	1624	1653	2136
"RPL13AP11"	4	1	1	0	0	1	0	0	0	3
"NFASC"	4343	3548	4065	3535	3262	4989	7294	6322	8124	7860
"LOC124900453"	0	0	0	0	0	0	0	0	0	0
"LOC105371694"	0	0	0	1	0	0	0	0	0	0
"LOC105371695"	0	0	0	2	0	0	0	0	0	0
"LOC105371693"	1	0	0	0	1	0	0	0	0	0
"RNA5SP75"	0	0	0	0	0	0	0	0	0	0
"LOC124904490"	0	0	0	0	0	0	0	0	0	0
"LRRN2"	2451	1562	2421	1726	1377	1237	1137	1217	1209	1616
"LOC105371692"	26	21	16	16	11	19	14	18	12	19
"RNA5SP74"	0	0	0	0	0	0	0	0	0	0
"LOC100291628"	2	0	0	3	0	0	0	0	0	0
"MDM4"	1680	1637	1263	1553	1169	1448	1659	1525	1797	1858
"TRK.TTT3.2"	1	0	0	0	0	0	0	0	0	0
"TRK.TTT3.1"	8	3	11	6	6	5	10	6	9	2
"LOC124904584"	3	2	0	2	1	6	7	7	13	9
"PIK3C2B"	1111	1256	946	1331	850	1337	2139	1998	2510	2417
"PPP1R15B"	3339	3157	3302	3357	2341	3047	2819	2813	3648	3527
"LOC124904489"	0	0	0	0	0	0	0	0	0	0
"LINC00628"	2	0	0	1	1	0	1	1	0	0
"RPL21P19"	2	1	4	2	6	0	2	1	6	2
"PLEKHA6"	2195	2045	1680	2096	1622	1663	2258	2121	2370	2666
"LOC100420418"	1	1	0	0	1	0	3	0	1	2
"GOLT1A"	0	0	2	0	2	0	2	3	3	0
"KISS1"	10	1	5	0	3	7	3	0	1	0
"REN"	0	0	0	0	0	0	0	0	0	1
"ERLNC1"	0	0	0	0	0	0	0	0	1	0
"ETNK2"	785	816	689	877	555	620	848	794	994	994
"SOX13"	323	315	239	285	243	253	331	316	355	361
"LINC00303"	0	0	0	1	0	0	0	0	0	0
"LOC105371689"	0	1	0	2	0	4	0	1	1	2
"CBX1P3"	1	2	2	2	2	2	3	3	2	2
"HSPE1P6"	2	1	1	2	4	1	0	1	1	0
"KRT8P29"	0	0	0	0	0	0	0	0	0	0
"SNRPE"	1758	1553	1497	1525	1289	1524	1190	1210	1364	1303
"RPL35AP5"	0	0	0	0	0	0	0	0	0	0
"LOC100420338"	0	0	0	0	0	0	0	0	0	0
"ZBED6"	1688	1637	1761	1294	1274	1181	1008	854	1090	1093
"ZC3H11A"	0	0	0	0	0	0	0	0	0	0
"LAX1"	1	2	1	0	0	2	0	1	1	5
"LOC102723543"	0	0	0	1	0	0	0	1	0	2
"LINC00260"	11	15	6	8	9	6	21	8	9	7
"SNORA77"	0	1	0	2	3	1	0	0	0	1
"NSA2P1"	1	2	3	0	5	0	0	0	0	0
"ATP2B4"	6519	6090	6583	5849	5261	4757	4619	3735	4417	5409
"LOC124904488"	1	0	0	0	0	0	0	0	0	0
"LOC105371688"	7	3	0	3	3	0	0	1	4	3
"OPTC"	0	0	0	4	0	0	0	0	0	0
"PRELP"	105	205	91	227	109	21	23	31	22	29
"LOC124904487"	0	0	0	0	0	0	0	0	0	0
"BMNCR"	0	0	0	0	0	0	0	0	0	0
"LARP7P1"	0	0	0	0	0	0	0	0	0	0
"LOC102723529"	1	28	3	30	12	1	1	1	1	2
"LOC100131747"	0	0	0	0	0	0	0	0	0	0
"FMOD"	18	24	13	42	24	1	2	0	0	2
"RNU6.487P"	0	0	0	0	0	0	0	0	0	0
"BTG2"	1528	1033	1553	962	938	865	571	533	572	744
"BTG2.DT"	1	1	1	0	0	0	0	2	3	0
"LINC01353"	3	1	2	1	0	2	4	1	1	2
"LOC124904486"	0	0	0	0	1	0	1	0	0	0
"NPM1P40"	1	0	0	0	0	1	0	0	0	0
"CHIT1"	0	0	1	0	0	1	0	0	0	1
"LOC124904485"	1	0	0	0	0	0	0	0	0	0
"CHI3L1"	8	5	15	0	4	6	2	2	1	6
"MYBPH"	0	2	0	4	0	4	0	0	4	1
"ADORA1"	159	196	175	208	154	276	397	245	342	426
"MYOPARR"	0	0	0	0	0	0	0	0	0	0
"MYOG"	0	2	2	3	1	4	1	1	3	0
"LOC105371687"	0	0	0	0	0	0	0	0	0	0
"PPFIA4"	146	168	78	183	126	142	219	178	208	233
"TMEM183A"	1746	1730	1951	1768	1407	1863	1976	1772	2351	2268
"RPS20P8"	0	0	0	0	0	0	0	0	0	0
"MGAT4FP"	1	1	1	1	1	2	1	0	1	0
"CYB5R1"	943	730	984	873	672	687	545	507	649	646
"ADIPOR1"	2345	2108	2549	2013	1750	1754	1605	1467	1736	1866
"HNRNPA1P59"	0	0	0	1	1	0	1	0	1	0
"KLHL12"	2114	2089	1948	2181	1853	2016	2119	1920	2483	2345
"RABIF"	590	630	626	670	468	599	743	634	914	818
"ACTG1P25"	9	3	6	9	5	10	12	11	14	15
"TUBA5P"	0	2	1	1	0	4	3	0	1	0
"MGAT4EP"	3	2	1	1	2	1	0	1	1	1
"PCAT6"	57	39	56	41	45	39	46	45	44	41
"LOC124904583"	0	1	0	1	0	1	2	1	2	0
"SLC25A39P1"	0	0	0	0	0	0	0	0	0	0
"LOC100506672"	8	8	5	9	11	10	7	8	10	14
"KDM5B"	8954	9038	9141	8972	7578	8879	11060	9450	12108	11541
"SYT2"	167	201	111	208	143	459	717	850	923	935
"LOC124900426"	0	0	0	0	0	0	0	0	0	0
"RPS27P8"	23	17	16	20	48	16	10	11	10	10
"LOC100420423"	1	0	0	1	1	0	1	0	1	0
"RNU6.89P"	0	0	0	0	0	0	0	0	0	0
"CYCSP4"	0	0	0	0	0	0	0	0	0	0
"PPP1R12B"	1730	1775	1648	1581	1399	1776	2050	1539	2062	2137
"UBE2T"	434	405	357	397	359	567	541	532	553	553
"LOC124904839"	0	0	0	0	0	0	0	0	0	0
"LOC101929388"	0	0	0	0	0	0	0	0	0	0
"LOC124904750"	0	0	0	0	0	0	0	0	0	0
"LOC124904840"	0	0	0	0	0	0	0	0	0	0
"LGR6"	39	23	53	10	21	13	12	16	10	11
"PTPRVP"	8	9	5	7	4	5	3	3	2	2
"PTPN7"	0	0	0	0	1	0	0	0	0	0
"ARL8A"	1330	1184	1267	1273	1088	1281	1472	1310	1563	1505
"LOC105371683"	0	0	0	0	0	0	0	0	0	0
"GPR37L1"	7	3	7	6	1	8	9	8	11	11
"CRIP1P3"	0	0	0	0	0	0	0	0	0	0
"LOC105371684"	0	0	0	0	0	1	0	0	0	1
"ELF3"	9	7	16	9	3	7	10	4	3	8
"MIR6740"	0	0	0	0	0	0	0	0	0	0
"ELF3.AS1"	1	0	1	0	0	0	0	0	0	0
"RNPEP"	1713	1413	1716	1465	1178	1008	751	778	825	938
"RPL10P4"	0	0	0	1	0	0	0	0	0	0
"SNORA70H"	0	0	0	0	0	0	0	0	0	0
"TIMM17A"	1735	1659	1955	1524	1131	1798	1429	1227	1510	1789
"LMOD1"	215	138	281	123	164	92	27	18	20	46
"SHISA4"	312	278	372	287	255	292	243	184	202	307
"MIR6739"	6	3	1	2	3	2	2	3	3	3
"IPO9"	7053	6714	7169	6183	5664	7049	6831	6167	7190	8153
"MIR1231"	0	0	0	0	0	0	0	0	0	0
"RNU6.501P"	0	0	0	0	0	0	0	0	0	0
"LOC124904483"	18	14	9	11	5	5	7	3	5	9
"MIR5191"	0	0	0	0	0	0	0	0	0	0
"IPO9.AS1"	2	3	4	6	6	2	5	3	2	6
"LOC124904482"	64	65	52	63	63	70	106	66	88	102
"NAV1"	5800	5205	5215	4938	4500	6923	9005	7480	9643	10210
"RPS10P7"	3	3	3	5	3	4	1	2	0	3
"LOC124904484"	1	2	2	1	1	0	1	1	2	4
"CSRP1.AS1"	35	23	36	16	23	10	4	4	7	11
"CSRP1"	2484	1307	2923	1280	1462	1295	530	344	386	670
"PHLDA3"	497	259	556	293	216	397	367	341	378	454
"LOC124904582"	0	0	0	0	0	0	0	0	0	0
"TNNI1"	34	9	40	8	10	23	8	7	10	11
"LOC101929343"	1	0	0	0	0	0	1	0	0	0
"LAD1"	3	0	1	0	0	0	0	0	0	1
"TNNT2"	52	25	66	10	32	38	5	4	8	9
"LOC101929326"	0	0	0	1	0	0	0	0	0	0
"PKP1"	3	0	0	0	0	0	0	0	0	1
"IGFN1"	178	108	48	77	103	3	2	2	3	2
"TMEM9"	2502	2032	2454	2259	1708	1694	1669	1643	1964	2170
"ASCL5"	0	0	0	0	0	1	0	1	1	1
"LOC124904481"	0	0	0	0	0	0	1	0	0	0
"CACNA1S"	2	2	1	3	3	4	6	9	5	6
"LOC101929305"	7	9	10	10	12	12	23	23	29	31
"KIF21B"	4684	5209	3650	5648	3565	5746	10318	9256	11193	11665
"RNU6.704P"	0	0	0	0	0	0	0	0	0	0
"MROH3P"	0	0	0	0	0	0	0	0	0	0
"INAVA"	165	117	148	118	60	107	65	69	56	106
"GPR25"	0	0	0	0	0	0	0	0	0	0
"RPL34P6"	4	2	1	2	2	2	1	1	0	2
"CAMSAP2"	5250	5243	4806	5215	4338	6080	7149	6606	8749	8329
"DDX59.AS1"	2	2	0	0	0	1	1	0	1	2
"DDX59"	613	557	616	567	540	514	493	478	627	544
"KIF14"	566	530	522	464	480	691	340	350	359	518
"LOC107985459"	0	0	0	0	0	0	0	0	0	0
"LOC124904480"	0	0	0	0	0	0	0	0	0	0
"LOC124900414"	5	0	10	0	2	3	0	1	0	2
"ZNF281"	1885	1678	1880	1650	1531	1652	1713	1490	1890	1791
"LINC00862"	4	1	10	1	7	5	1	0	2	2
"LOC124904479"	0	0	1	0	0	0	1	1	0	0
"CCNQP1"	0	0	0	0	0	0	0	0	0	0
"LOC100420255"	0	0	0	0	0	0	0	0	0	0
"LOC107985244"	0	0	0	0	0	0	0	0	0	0
"RNU6.570P"	0	0	0	0	0	0	0	0	0	0
